E235  Dispatch Call 0 [Event: 235],
DrawCallCount,0
DispatchCallCount,1
DispatchTotalThreads,0
GPUAdapterName,NVIDIA GeForce RTX 2060
fe__output_ops_type_bundle_cmd_go_idle.avg,4
fe__pixel_shader_barriers.sum,0
gr__cycles_idle.avg.pct_of_peak_sustained_elapsed,0
l1tex__lsu_writeback_active.avg.pct_of_peak_sustained_elapsed,0.007513
l1tex__texin_cycles_stalled_on_tsl1_miss.avg.pct_of_peak_sustained_elapsed,0.006977
l1tex__texin_requests.avg.pct_of_peak_sustained_elapsed,34.780884
pda__input_prims.sum,0
pes__stream_output_attrs.avg.pct_of_peak_sustained_elapsed,0
prop__earlyz_killed_samples.sum,0
prop__earlyz_output_samples.sum,0
raster__zcull_input_samples.sum,0
raster__zcull_input_samples_op_rejected.sum,0
sm__cycles_active.avg,18884966
sm__cycles_active.min,18635604
sm__cycles_active.max,19106908
sm__cycles_active_shader_cs.avg.pct_of_peak_sustained_active,100.001183
sm__cycles_active_shader_gs.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_ps.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_tcs.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_tes.avg.pct_of_peak_sustained_active,0
sm__cycles_active_shader_vs.avg.pct_of_peak_sustained_active,0
sm__cycles_elapsed.avg,19250716
sm__issue_active.avg.pct_of_peak_sustained_active,15.396203
sm__threads_launched_shader_cs.sum,522240
sm__threads_launched_shader_gs.sum,0
sm__threads_launched_shader_ps.sum,0
sm__threads_launched_shader_ps_killmask_off.sum,0
sm__threads_launched_shader_tcs.sum,0
sm__threads_launched_shader_tes.sum,0
sm__threads_launched_shader_vs.sum,0
sm__warps_active.avg.pct_of_peak_sustained_active,71.70829
sm__warps_active.avg.per_cycle_active,22.946653
smsp__inst_executed_shader_cs.sum,348869984
smsp__warps_issue_stalled_barrier.avg.pct_of_peak_sustained_active,0
smsp__warps_issue_stalled_dispatch_stall.avg.pct_of_peak_sustained_active,0.015354
smsp__warps_issue_stalled_drain.avg.pct_of_peak_sustained_active,0.044957
smsp__warps_issue_stalled_imc_miss.avg.pct_of_peak_sustained_active,0.017514
smsp__warps_issue_stalled_lg_throttle.avg.pct_of_peak_sustained_active,0
smsp__warps_issue_stalled_long_scoreboard.avg.pct_of_peak_sustained_active,11.972075
smsp__warps_issue_stalled_math_pipe_throttle.avg.pct_of_peak_sustained_active,0.081669
smsp__warps_issue_stalled_membar.avg.pct_of_peak_sustained_active,0.000004
smsp__warps_issue_stalled_mio_throttle.avg.pct_of_peak_sustained_active,0.552149
smsp__warps_issue_stalled_misc.avg.pct_of_peak_sustained_active,0.020846
smsp__warps_issue_stalled_no_instruction.avg.pct_of_peak_sustained_active,0.038212
smsp__warps_issue_stalled_not_selected.avg.pct_of_peak_sustained_active,0.757877
smsp__warps_issue_stalled_short_scoreboard.avg.pct_of_peak_sustained_active,0.231509
smsp__warps_issue_stalled_sleeping.avg.pct_of_peak_sustained_active,0
smsp__warps_issue_stalled_tex_throttle.avg.pct_of_peak_sustained_active,55.001892
smsp__warps_issue_stalled_wait.avg.pct_of_peak_sustained_active,1.767004
smsp__warps_launched.sum,16320
vpc__input_prims.sum,0
vpc__output_prims.sum,0
crop__throughput.avg.pct_of_peak_sustained_elapsed,0.000066
dram__read_throughput.avg.pct_of_peak_sustained_elapsed,2.854205
dram__throughput.avg.pct_of_peak_sustained_elapsed,2.909706
dram__write_throughput.avg.pct_of_peak_sustained_elapsed,0.055501
fbpa__throughput.avg.pct_of_peak_sustained_elapsed,2.388569
l1tex__throughput.avg.pct_of_peak_sustained_elapsed,77.394188
lts__throughput.avg.pct_of_peak_sustained_elapsed,43.937279
pda__throughput.avg.pct_of_peak_sustained_elapsed,0
pes__throughput.avg.pct_of_peak_sustained_elapsed,0
raster__throughput.avg.pct_of_peak_sustained_elapsed,0
sm__throughput.avg.pct_of_peak_sustained_elapsed,20.288347
sm__throughput.avg.pct_of_peak_sustained_active,20.681278
vaf__throughput.avg.pct_of_peak_sustained_elapsed,0
vpc__throughput.avg.pct_of_peak_sustained_elapsed,0.000114
zrop__throughput.avg.pct_of_peak_sustained_elapsed,0.000038
l1tex__t_sector_hit_rate.pct,80.584023
lts__t_sector_hit_rate.pct,97.960579
pda__prim_count_and_per_draw_call,0.0 / 0.0
